,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
430,83.039,25624000.0,1.3889,7432.2,-2116.5,0,675610.0,-0.62192,614.26,1,0.43,0.43,0.25,0,0.4062101474310903,0.613054341086408,550.2038088984498
431,83.034,25622000.0,1.3889,7432.0,-2116.6,0,675590.0,-0.62199,614.26,1,0.431,0.431,0.25,0,0.4062596947361756,0.6130732279254281,550.2038088984498
432,83.029,25621000.0,1.3889,7431.8,-2116.6,0,675570.0,-0.62206,614.26,1,0.432,0.432,0.25,0,0.40630923515508166,0.6130921134377083,550.2038088984498
433,83.024,25619000.0,1.3889,7431.5,-2116.7,0,675550.0,-0.62213,614.26,1,0.433,0.433,0.25,0,0.40635876868969545,0.6131109976235614,550.2038088984498
434,83.019,25618000.0,1.3889,7431.3,-2116.7,0,675520.0,-0.62221,614.26,1,0.434,0.434,0.25,0,0.4064330560875281,0.6131393214159375,550.2038088984498
435,83.02,25618000.0,1.3889,7431.3,-2116.7,0,675530.0,-0.62219,614.26,1,0.435,0.435,0.25,0,0.4064082953418142,0.6131298804832805,550.2038088984498
436,83.017,25617000.0,1.3889,7431.1,-2116.8,0,675510.0,-0.62225,614.26,1,0.436,0.436,0.25,0,0.4064578151133108,0.6131487620171754,550.2038088984498
437,83.013,25616000.0,1.3889,7430.9,-2116.9,0,675500.0,-0.6223,614.26,1,0.437,0.437,0.25,0,0.4064825724193908,0.6131582022870308,550.2038088984498
438,83.009,25615000.0,1.3889,7430.6,-2117.0,0,675480.0,-0.62236,614.26,1,0.438,0.438,0.25,0,0.40653208187335677,0.6131770818327473,550.2038088984498
439,83.006,25614000.0,1.3889,7430.4,-2117.1,0,675460.0,-0.62241,614.26,1,0.439,0.439,0.25,0,0.40658158445128534,0.6131959600533927,550.2038088984498
440,83.002,25612000.0,1.3888,7430.2,-2117.2,0,675450.0,-0.62247,614.26,1,0.44,0.44,0.25,0,0.40660633316230976,0.613205398666908,550.2038088984498
441,82.998,25611000.0,1.3888,7430.0,-2117.3,0,675430.0,-0.62252,614.26,1,0.441,0.441,0.25,0,0.40665582542962275,0.6132242749005126,550.2038088984498
442,82.995,25610000.0,1.3888,7429.7,-2117.4,0,675410.0,-0.62258,614.26,1,0.442,0.442,0.25,0,0.4067053108254606,0.6132431498097963,550.2038088984498
443,82.991,25609000.0,1.3888,7429.5,-2117.5,0,675400.0,-0.62264,614.26,1,0.443,0.443,0.25,0,0.40673005094716663,0.6132525867679147,550.2038088984498
444,82.987,25608000.0,1.3888,7429.3,-2117.6,0,675380.0,-0.62269,614.26,1,0.444,0.444,0.25,0,0.4067795260392695,0.6132714596912896,550.2038088984498
445,82.984,25607000.0,1.3888,7429.1,-2117.7,0,675360.0,-0.62275,614.25,1,0.445,0.445,0.25,0,0.40664379179175725,0.6132361046432203,550.2038088984498
446,82.98,25606000.0,1.3888,7428.8,-2117.8,0,675350.0,-0.6228,614.25,1,0.446,0.446,0.25,0,0.40666854078872305,0.6132455430597837,550.2038088984498
447,82.974,25604000.0,1.3888,7428.5,-2117.9,0,675320.0,-0.62289,614.25,1,0.447,0.447,0.25,0,0.4067427774695139,0.6132738563229295,550.2038088984498
448,82.967,25602000.0,1.3888,7428.2,-2118.0,0,675290.0,-0.623,614.25,1,0.448,0.448,0.25,0,0.4068169986899165,0.6133021666070462,550.2038088984498
449,82.964,25601000.0,1.3888,7428.0,-2118.1,0,675280.0,-0.62305,614.25,1,0.449,0.449,0.25,0,0.40684173566216153,0.6133116027065897,550.2038088984498
450,82.964,25601000.0,1.3888,7428.0,-2118.2,0,675280.0,-0.62305,614.25,1,0.45,0.45,0.25,0,0.40684173566216153,0.6133116027065897,550.2038088984498
451,82.964,25601000.0,1.3888,7428.0,-2118.2,0,675280.0,-0.62305,614.25,1,0.451,0.451,0.25,0,0.40684173566216153,0.6133116027065897,550.2038088984498
452,82.963,25600000.0,1.3888,7428.0,-2118.3,0,675270.0,-0.62305,614.25,1,0.452,0.452,0.25,0,0.40686647091750416,0.6133210384752821,550.2038088984498
453,82.962,25600000.0,1.3888,7427.9,-2118.3,0,675270.0,-0.62307,614.25,1,0.453,0.453,0.25,0,0.40686647091750416,0.6133210384752821,550.2038088984498
