,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G
133,202.89,75001000.0,1.7,17306,-1.3935e-09,0,1499900.0,1.0715e-13,569.84,1,0.133,0.133,0.25,0,0.7577617356292932
134,202.89,75001000.0,1.7,17306,-9.0386e-09,0,1499900.0,1.7801e-13,569.84,1,0.134,0.134,0.25,0,0.7577617356292932
135,202.89,75001000.0,1.7,17306,-1.6684e-08,0,1499900.0,2.4886e-13,569.84,1,0.135,0.135,0.25,0,0.7577617356292932
136,202.89,75001000.0,1.7,17306,-2.4329e-08,0,1499900.0,3.1971e-13,569.84,1,0.136,0.136,0.25,0,0.7577617356292932
137,202.89,75001000.0,1.7,17306,-3.1974e-08,0,1499900.0,3.9056e-13,569.84,1,0.137,0.137,0.25,0,0.7577617356292932
138,202.89,75001000.0,1.7,17306,-3.9619e-08,0,1499900.0,4.6141e-13,569.84,1,0.138,0.138,0.25,0,0.7577617356292932
139,202.89,75001000.0,1.7,17306,-4.7264e-08,0,1499900.0,5.3226e-13,569.84,1,0.139,0.139,0.25,0,0.7577617356292932
140,202.89,75001000.0,1.7,17306,-5.4909e-08,0,1499900.0,6.0311e-13,569.84,1,0.14,0.14,0.25,0,0.7577617356292932
141,202.89,75001000.0,1.7,17306,-6.2554e-08,0,1499900.0,6.7396e-13,569.84,1,0.141,0.141,0.25,0,0.7577617356292932
142,202.89,75001000.0,1.7,17306,-7.0199e-08,0,1499900.0,7.4481e-13,569.84,1,0.142,0.142,0.25,0,0.7577617356292932
143,202.89,75001000.0,1.7,17306,-7.7844e-08,0,1499900.0,8.1567e-13,569.84,1,0.143,0.143,0.25,0,0.7577617356292932
144,202.89,75001000.0,1.7,17306,-8.5489e-08,0,1499900.0,8.8652e-13,569.84,1,0.144,0.144,0.25,0,0.7577617356292932
145,202.89,75001000.0,1.7,17306,-9.3135e-08,0,1499900.0,9.5737e-13,569.84,1,0.145,0.145,0.25,0,0.7577617356292932
146,202.89,75001000.0,1.7,17306,-1.0078e-07,0,1499900.0,1.0282e-12,569.84,1,0.146,0.146,0.25,0,0.7577617356292932
147,202.89,75001000.0,1.7,17306,-1.0842e-07,0,1499900.0,1.0991e-12,569.84,1,0.147,0.147,0.25,0,0.7577617356292932
148,202.89,75001000.0,1.7,17306,-1.1607e-07,0,1499900.0,1.1699e-12,569.84,1,0.148,0.148,0.25,0,0.7577617356292932
149,202.89,75001000.0,1.7,17306,-1.1925e-07,0,1499900.0,1.1618e-12,569.84,1,0.149,0.149,0.25,0,0.7577617356292932
150,202.89,75001000.0,1.7,17306,-1.0258e-07,0,1499900.0,8.0257e-13,569.84,1,0.15,0.15,0.25,0,0.7577617356292932
151,202.89,75001000.0,1.7,17306,-8.5353e-08,0,1499900.0,4.3551e-13,569.84,1,0.151,0.151,0.25,0,0.7577617356292932
152,202.89,75001000.0,1.7,17306,-4.0325e-08,0,1499900.0,-3.2572e-13,569.84,1,0.152,0.152,0.25,0,0.7577617356292932
153,202.89,75001000.0,1.7,17306,4.7029e-09,0,1499900.0,-1.0869e-12,569.84,1,0.153,0.153,0.25,0,0.7577617356292932
154,202.89,75001000.0,1.7,17306,4.9731e-08,0,1499900.0,-1.8482e-12,569.84,1,0.154,0.154,0.25,0,0.7577617356292932
155,202.89,75001000.0,1.7,17306,9.4759e-08,0,1499900.0,-2.6094e-12,569.84,1,0.155,0.155,0.25,0,0.7577617356292932
156,202.89,75001000.0,1.7,17306,1.3979e-07,0,1499900.0,-3.3706e-12,569.84,1,0.156,0.156,0.25,0,0.7577617356292932
157,202.89,75001000.0,1.7,17306,1.8481e-07,0,1499900.0,-4.1319e-12,569.84,1,0.157,0.157,0.25,0,0.7577617356292932
158,202.89,75001000.0,1.7,17306,2.2984e-07,0,1499900.0,-4.8931e-12,569.84,1,0.158,0.158,0.25,0,0.7577617356292932
159,202.89,75001000.0,1.7,17306,2.7487e-07,0,1499900.0,-5.6543e-12,569.84,1,0.159,0.159,0.25,0,0.7577617356292932
160,202.89,75001000.0,1.7,17306,3.199e-07,0,1499900.0,-6.4155e-12,569.84,1,0.16,0.16,0.25,0,0.7577617356292932
161,202.89,75001000.0,1.7,17306,3.6492e-07,0,1499900.0,-7.1768e-12,569.84,1,0.161,0.161,0.25,0,0.7577617356292932
162,202.89,75001000.0,1.7,17306,4.0995e-07,0,1499900.0,-7.938e-12,569.84,1,0.162,0.162,0.25,0,0.7577617356292932
163,202.89,75001000.0,1.7,17306,4.5498e-07,0,1499900.0,-8.6992e-12,569.84,1,0.163,0.163,0.25,0,0.7577617356292932
164,202.89,75001000.0,1.7,17306,5.0001e-07,0,1499900.0,-9.4604e-12,569.84,1,0.164,0.164,0.25,0,0.7577617356292932
165,202.89,75001000.0,1.7,17306,5.4504e-07,0,1499900.0,-1.0222e-11,569.84,1,0.165,0.165,0.25,0,0.7577617356292932
166,202.89,75001000.0,1.7,17306,5.9006e-07,0,1499900.0,-1.0983e-11,569.84,1,0.166,0.166,0.25,0,0.7577617356292932
167,202.89,75001000.0,1.7,17306,6.3509e-07,0,1499900.0,-1.1744e-11,569.84,1,0.167,0.167,0.25,0,0.7577617356292932
168,202.89,75001000.0,1.7,17306,6.8012e-07,0,1499900.0,-1.2505e-11,569.84,1,0.168,0.168,0.25,0,0.7577617356292932
169,202.89,75001000.0,1.7,17306,7.2515e-07,0,1499900.0,-1.3267e-11,569.84,1,0.169,0.169,0.25,0,0.7577617356292932
170,202.89,75001000.0,1.7,17306,6.44e-07,0,1499900.0,-9.1844e-12,569.84,1,0.17,0.17,0.25,0,0.7577617356292932
171,202.89,75001000.0,1.7,17306,5.6025e-07,0,1499900.0,-5.0024e-12,569.84,1,0.171,0.171,0.25,0,0.7577617356292932
172,202.89,75001000.0,1.7,17306,3.2326e-07,0,1499900.0,1.0642e-12,569.84,1,0.172,0.172,0.25,0,0.7577617356292932
173,202.89,75001000.0,1.7,17306,6.7799e-08,0,1499900.0,7.3581e-12,569.84,1,0.173,0.173,0.25,0,0.7577617356292932
174,202.89,75001000.0,1.7,17306,-1.8767e-07,0,1499900.0,1.3652e-11,569.84,1,0.174,0.174,0.25,0,0.7577617356292932
175,202.89,75001000.0,1.7,17306,-4.4314e-07,0,1499900.0,1.9946e-11,569.84,1,0.175,0.175,0.25,0,0.7577617356292932
176,202.89,75001000.0,1.7,17306,-6.9861e-07,0,1499900.0,2.624e-11,569.84,1,0.176,0.176,0.25,0,0.7577617356292932
177,202.89,75001000.0,1.7,17306,-9.5408e-07,0,1499900.0,3.2534e-11,569.84,1,0.177,0.177,0.25,0,0.7577617356292932
178,202.89,75001000.0,1.7,17306,-1.2095e-06,0,1499900.0,3.8828e-11,569.84,1,0.178,0.178,0.25,0,0.7577617356292932
179,202.89,75001000.0,1.7,17306,-1.465e-06,0,1499900.0,4.5122e-11,569.84,1,0.179,0.179,0.25,0,0.7577617356292932
180,202.89,75001000.0,1.7,17306,-1.7205e-06,0,1499900.0,5.1416e-11,569.84,1,0.18,0.18,0.25,0,0.7577617356292932
181,202.89,75001000.0,1.7,17306,-1.976e-06,0,1499900.0,5.771e-11,569.84,1,0.181,0.181,0.25,0,0.7577617356292932
182,202.89,75001000.0,1.7,17306,-2.2314e-06,0,1499900.0,6.4004e-11,569.84,1,0.182,0.182,0.25,0,0.7577617356292932
183,202.89,75001000.0,1.7,17306,-2.4869e-06,0,1499900.0,7.0298e-11,569.84,1,0.183,0.183,0.25,0,0.7577617356292932
