"<greek>m</greek>","<greek>m</greek><sub>t</sub>","C<sub>f</sub>_x","C<sub>f</sub>_y","C<sub>p</sub>","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Conservative_5","Conservative_6","Mach","Pressure","Temperature","h","p","y<sup>+</sup>","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.716e-05,1.3429e-09,0,0,-3.5219e+16,71.44,1154.4,0.11028,2.411e+07,1.0018e-10,5.3675,0.18474,8.9438e+05,541.85,0,0.98936,0,1,0.012294,0.012294,0,0
1.716e-05,1.3002e-09,0,0,-3.529e+16,71.437,1155.4,0.10939,2.4109e+07,1.0018e-10,5.5301,0.1849,8.9436e+05,541.85,0,0.98934,0,1,0.012417,0.012417,0,0
1.716e-05,1.2574e-09,0,0,-3.536e+16,71.435,1156.4,0.1085,2.4109e+07,1.0019e-10,5.6927,0.18506,8.9434e+05,541.85,0,0.98932,0,1,0.01254,0.01254,0,0
1.716e-05,1.2226e-09,0,0,-3.5435e+16,71.432,1157.4,0.11348,2.4108e+07,1.002e-10,5.8786,0.18523,8.9432e+05,541.85,0,0.9893,0,1,0.012663,0.012663,0,0
1.716e-05,1.188e-09,0,0,-3.5509e+16,71.43,1158.4,0.11858,2.4107e+07,1.0021e-10,6.065,0.1854,8.943e+05,541.85,0,0.98927,0,1,0.012785,0.012785,0,0
1.716e-05,1.1534e-09,0,0,-3.5583e+16,71.427,1159.5,0.12367,2.4106e+07,1.0021e-10,6.2513,0.18557,8.9428e+05,541.85,0,0.98925,0,1,0.012908,0.012908,0,0
1.716e-05,1.1187e-09,0,0,-3.5657e+16,71.424,1160.5,0.12877,2.4105e+07,1.0022e-10,6.4376,0.18574,8.9426e+05,541.85,0,0.98923,0,1,0.013031,0.013031,0,0
1.716e-05,1.0841e-09,0,0,-3.5731e+16,71.422,1161.6,0.13386,2.4104e+07,1.0023e-10,6.624,0.18591,8.9424e+05,541.85,0,0.98921,0,1,0.013154,0.013154,0,0
1.716e-05,1.0516e-09,0,0,-3.5807e+16,71.419,1162.6,0.13567,2.4103e+07,1.0024e-10,6.8167,0.18608,8.9422e+05,541.85,0,0.98918,0,1,0.013277,0.013277,0,0
1.716e-05,1.024e-09,0,0,-3.5885e+16,71.416,1163.7,0.13028,2.4102e+07,1.0025e-10,7.0233,0.18626,8.942e+05,541.85,0,0.98916,0,1,0.0134,0.0134,0,0
1.716e-05,9.9645e-10,0,0,-3.5963e+16,71.413,1164.8,0.12489,2.4101e+07,1.0026e-10,7.2299,0.18644,8.9418e+05,541.85,0,0.98914,0,1,0.013523,0.013523,0,0
1.716e-05,9.6885e-10,0,0,-3.6041e+16,71.411,1165.9,0.1195,2.41e+07,1.0027e-10,7.4365,0.18662,8.9416e+05,541.85,0,0.98911,0,1,0.013646,0.013646,0,0
1.716e-05,9.4125e-10,0,0,-3.6119e+16,71.408,1167,0.11411,2.4099e+07,1.0028e-10,7.6431,0.1868,8.9414e+05,541.85,0,0.98909,0,1,0.013769,0.013769,0,0
1.716e-05,9.1364e-10,0,0,-3.6197e+16,71.405,1168.1,0.10872,2.4098e+07,1.0029e-10,7.8497,0.18698,8.9411e+05,541.84,0,0.98906,0,1,0.013892,0.013892,0,0
1.716e-05,8.8918e-10,0,0,-3.6279e+16,71.402,1169.3,0.1043,2.4097e+07,1.003e-10,8.0734,0.18717,8.9409e+05,541.84,0,0.98904,0,1,0.014015,0.014015,0,0
1.716e-05,8.6645e-10,0,0,-3.6364e+16,71.399,1170.4,0.1004,2.4096e+07,1.0031e-10,8.3064,0.18736,8.9407e+05,541.84,0,0.98901,0,1,0.014138,0.014138,0,0
1.716e-05,8.4372e-10,0,0,-3.6449e+16,71.396,1171.6,0.096505,2.4095e+07,1.0032e-10,8.5394,0.18755,8.9405e+05,541.84,0,0.98899,0,1,0.014261,0.014261,0,0
1.716e-05,8.2098e-10,0,0,-3.6534e+16,71.393,1172.8,0.09261,2.4094e+07,1.0033e-10,8.7725,0.18774,8.9402e+05,541.84,0,0.98896,0,1,0.014384,0.014384,0,0
1.716e-05,7.9825e-10,0,0,-3.6618e+16,71.39,1174,0.088715,2.4093e+07,1.0034e-10,9.0055,0.18794,8.94e+05,541.84,0,0.98894,0,1,0.014507,0.014507,0,0
1.716e-05,7.7551e-10,0,0,-3.6703e+16,71.387,1175.2,0.08482,2.4092e+07,1.0035e-10,9.2385,0.18813,8.9398e+05,541.84,0,0.98891,0,1,0.01463,0.01463,0,0
1.716e-05,7.5712e-10,0,0,-3.679e+16,71.384,1176.4,0.078152,2.4091e+07,1.0037e-10,9.4909,0.18833,8.9395e+05,541.84,0,0.98889,0,1,0.014752,0.014752,0,0
