"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Pressure_Coefficient","Mach"
1855, 1.102113993367596e-01, 9.473948996879304e-01, 2.094999473123561e+02, 1.468496913377544e+04, -4.594242571957976e-04, 1.173139745124276e+08, 8.202729104245594e+05, 6.524331864943554e+02, -1.740430959861714e-07, 1.700000584819643e+00
1856, 5.189727664223510e-02, 8.904745330141096e-01, 2.094999797129711e+02, 1.468497019310469e+04, -2.425389962805579e-04, 1.173139926977638e+08, 8.202729655095683e+05, 6.524331917865469e+02, -6.701414434668350e-08, 1.700000227595106e+00
1857, 1.301035660088920e-01, 9.476752780836938e-01, 2.094999173819576e+02, 1.468496815249664e+04, -7.457896026748786e-04, 1.173139577133477e+08, 8.202728595392383e+05, 6.524331816056397e+02, -2.729121471913801e-07, 1.700000914495357e+00
1858, 5.186554720140172e-02, 8.702443746537551e-01, 2.094999753421388e+02, 1.468497005822956e+04, -3.153687276924834e-04, 1.173139902451307e+08, 8.202729580786158e+05, 6.524331910726319e+02, -8.145232038719095e-08, 1.700000276713955e+00
1859, 1.500641882572222e-01, 9.478565895584043e-01, 2.094998718829081e+02, 1.468496665098535e+04, -1.190824489362275e-03, 1.173139321753401e+08, 8.202727821853366e+05, 6.524331741739998e+02, -4.232090638916828e-07, 1.700001414520167e+00
1860, 5.187798939090858e-02, 8.501263315684995e-01, 2.094999696367625e+02, 1.468496988341423e+04, -4.020091416138291e-04, 1.173139870437233e+08, 8.202729483787781e+05, 6.524331901407378e+02, -1.002988902100128e-07, 1.700000340973902e+00
1861, 5.191142898835455e-02, 8.300644298844992e-01, 2.094999624394405e+02, 1.468496966321581e+04, -5.051477780768803e-04, 1.173139830051768e+08, 8.202729361424530e+05, 6.524331889651552e+02, -1.240737986437644e-07, 1.700000422075998e+00
1862, 1.700379711982876e-01, 9.479699972409403e-01, 2.094998031857645e+02, 1.468496436677760e+04, -1.884674838078732e-03, 1.173138936153515e+08, 8.202726653919169e+05, 6.524331629532712e+02, -6.501360900282590e-07, 1.700002167502874e+00
1863, 5.193956341022959e-02, 8.100316013131815e-01, 2.094999534812738e+02, 1.468496938929211e+04, -6.286450969061802e-04, 1.173139779785990e+08, 8.202729209124707e+05, 6.524331875019625e+02, -1.536653167768869e-07, 1.700000523036965e+00
1864, 1.900166563521388e-01, 9.480210517219529e-01, 2.094997006204522e+02, 1.468496093024087e+04, -2.952841025245653e-03, 1.173138360431848e+08, 8.202724910186492e+05, 6.524331462006422e+02, -9.889394847304514e-07, 1.700003288677793e+00
1865, 2.100047817669777e-01, 9.480369111638922e-01, 2.094995492035526e+02, 1.468495582188662e+04, -4.567555788356246e-03, 1.173137510470939e+08, 8.202722335921298e+05, 6.524331214687751e+02, -1.489113506939692e-06, 1.700004939811738e+00
1866, 5.195514898942928e-02, 7.900146405918870e-01, 2.094999424158682e+02, 1.468496905095563e+04, -7.772214093687079e-04, 1.173139717696158e+08, 8.202729020999339e+05, 6.524331856945821e+02, -1.902176587208873e-07, 1.700000647749670e+00
1867, 2.300005452002263e-01, 9.480394965557495e-01, 2.094993278116976e+02, 1.468494830625180e+04, -6.974305475102424e-03, 1.173136267681262e+08, 8.202718572005373e+05, 6.524330853074481e+02, -2.220434029564327e-06, 1.700007348601501e+00
1868, 5.196100034789678e-02, 7.700061657325301e-01, 2.094999288012115e+02, 1.468496863469522e+04, -9.569728679355479e-04, 1.173139641302068e+08, 8.202728789533610e+05, 6.524331834708169e+02, -2.351909370700941e-07, 1.700000801196270e+00
1869, 2.499999150447444e-01, 9.480392891214262e-01, 2.094990068635303e+02, 1.468493734585258e+04, -1.052588237175636e-02, 1.173134465983691e+08, 8.202713115529893e+05, 6.524330328849334e+02, -3.280615122940276e-06, 1.700010833041642e+00
1870, 5.196191176437426e-02, 7.500020553897310e-01, 2.094999120776981e+02, 1.468496812372454e+04, -1.175227559341378e-03, 1.173139547463909e+08, 8.202728505213526e+05, 6.524331807392623e+02, -2.904336991821634e-07, 1.700000989721340e+00
