"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          61, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.69154391e-01, 1.63047430e+00, 6.57371878e-01, 3.40076061e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0188543520
          62, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.69486758e-01, 1.62998277e+00, 6.57052811e-01, 3.40037405e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0191352975
          63, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.69820271e-01, 1.62948998e+00, 6.56533910e-01, 3.39998788e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0193993142
          64, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.70154898e-01, 1.62899597e+00, 6.55821230e-01, 3.39960211e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0196873416
          65, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.70490601e-01, 1.62850085e+00, 6.54920755e-01, 3.39921676e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0199522413
          66, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.70827340e-01, 1.62800475e+00, 6.53838342e-01, 3.39883183e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0202402345
          67, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.71165071e-01, 1.62750778e+00, 6.52579621e-01, 3.39844732e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0205040308
          68, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.71503753e-01, 1.62701007e+00, 6.51150103e-01, 3.39806326e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0207935820
          69, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.71843338e-01, 1.62651173e+00, 6.49555096e-01, 3.39767966e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0210588622
          70, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.72183784e-01, 1.62601289e+00, 6.47799835e-01, 3.39729651e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0213609588
          71, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.72525049e-01, 1.62551370e+00, 6.45889381e-01, 3.39691385e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0216261365
          72, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.72867089e-01, 1.62501428e+00, 6.43828764e-01, 3.39653166e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0219143770
          73, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.73209864e-01, 1.62451477e+00, 6.41622850e-01, 3.39614996e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0221791283
